context,action,reward,"Q(c,23)","Q(c,14)","Q(c,8)","Q(c,3)"
reward,23,23,2.3000401249477567,9.99749158180029e-06,4.592488919658672e-05,3.337086111390218e-05
neutral,8,-8,7.965429868602328e-05,1.834347898661638e-05,-0.7999298278099755,5.96850157946487e-05
neutral,14,14,7.965429868602328e-05,1.400016509131088,-0.7999298278099755,5.96850157946487e-05
punishment,14,14,1.4286681792194079e-05,1.4000585799625653,5.641157902710026e-06,7.219987722668248e-05
punishment,14,-14,1.4286681792194079e-05,-0.13994727803369122,5.641157902710026e-06,7.219987722668248e-05
punishment,14,-14,1.4286681792194079e-05,-1.5259525502303222,5.641157902710026e-06,7.219987722668248e-05
neutral,23,-23,-2.299928311131183,1.400016509131088,-0.7999298278099755,5.96850157946487e-05
neutral,14,14,-2.299928311131183,2.6600148582179797,-0.7999298278099755,5.96850157946487e-05
neutral,3,-3,-2.299928311131183,2.6600148582179797,-0.7999298278099755,-0.2999462834857848
neutral,23,23,0.23006451998193533,2.6600148582179797,-0.7999298278099755,-0.2999462834857848
punishment,8,-8,1.4286681792194079e-05,-1.5259525502303222,-0.7999949229578877,7.219987722668248e-05
punishment,23,-23,-2.2999871419863873,-1.5259525502303222,-0.7999949229578877,7.219987722668248e-05
reward,14,14,2.3000401249477567,1.4000089977424237,4.592488919658672e-05,3.337086111390218e-05
reward,23,23,4.370036112452981,1.4000089977424237,4.592488919658672e-05,3.337086111390218e-05
neutral,3,-3,0.23006451998193533,2.6600148582179797,-0.7999298278099755,-0.5699516551372064
reward,23,-23,1.633032501207683,1.4000089977424237,4.592488919658672e-05,3.337086111390218e-05
punishment,3,3,-2.2999871419863873,-1.5259525502303222,-0.7999949229578877,0.30006497988950404
punishment,8,-8,-2.2999871419863873,-1.5259525502303222,-1.519995430662099,0.30006497988950404
neutral,14,14,0.23006451998193533,3.794013372396182,-0.7999298278099755,-0.5699516551372064
neutral,14,-14,0.23006451998193533,2.0146120351565635,-0.7999298278099755,-0.5699516551372064
neutral,23,-23,-2.0929419320162586,2.0146120351565635,-0.7999298278099755,-0.5699516551372064
neutral,23,23,0.4163522611853674,2.0146120351565635,-0.7999298278099755,-0.5699516551372064
neutral,23,23,2.674717035066831,2.0146120351565635,-0.7999298278099755,-0.5699516551372064
punishment,14,-14,-2.2999871419863873,-2.77335729520729,-1.519995430662099,0.30006497988950404
punishment,3,3,-2.2999871419863873,-2.77335729520729,-1.519995430662099,0.5700584819005536
punishment,3,-3,-2.2999871419863873,-2.77335729520729,-1.519995430662099,0.21305263371049826
neutral,14,14,2.674717035066831,3.213150831640907,-0.7999298278099755,-0.5699516551372064
punishment,8,-8,-2.2999871419863873,-2.77335729520729,-2.167995887595889,0.21305263371049826
punishment,3,-3,-2.2999871419863873,-2.77335729520729,-2.167995887595889,-0.10825262966055155
punishment,8,8,-2.2999871419863873,-2.77335729520729,-1.1511962988363,-0.10825262966055155
reward,3,3,1.633032501207683,1.4000089977424237,4.592488919658672e-05,0.3000300337750025
punishment,3,-3,-2.2999871419863873,-2.77335729520729,-1.1511962988363,-0.3974273666944964
neutral,14,14,2.674717035066831,4.291835748476816,-0.7999298278099755,-0.5699516551372064
neutral,23,-23,0.1072453315601476,4.291835748476816,-0.7999298278099755,-0.5699516551372064
neutral,14,-14,0.1072453315601476,2.4626521736291345,-0.7999298278099755,-0.5699516551372064
reward,23,23,3.7697292510869147,1.4000089977424237,4.592488919658672e-05,0.3000300337750025
